ts_utc,day,sub_uid,label,equity_now,anchor,daily_pnl
2025-11-01 19:26:07,2025-11-01,302355261,302355261,414.19494983,432.35714772,-18.16219789
2025-11-01 19:26:07,2025-11-01,260417078,260417078,414.19494983,432.71839743,-18.52344760
2025-11-01 19:26:07,2025-11-01,253800120,253800120,417.43388972,432.71839743,-15.28450771
2025-11-01 19:26:07,2025-11-01,152499802,152499802,419.23389133,434.87764318,-15.64375185
2025-11-01 19:26:07,2025-11-01,152305682,152305682,419.23374956,435.95734618,-16.72359662
2025-11-01 19:26:07,2025-11-01,152304954,152304954,421.75304049,434.52662721,-12.77358672
2025-11-01 19:26:07,2025-11-01,65986659,65986659,421.75303608,433.80765585,-12.05461977
2025-11-01 19:26:07,2025-11-01,65986592,65986592,419.59365137,433.80677185,-14.21312048
2025-11-01 19:26:45,2025-11-01,302355261,302355261,428.95452924,432.35714772,-3.40261848
2025-11-01 19:26:45,2025-11-01,260417078,260417078,429.67355921,432.71839743,-3.04483822
2025-11-01 19:26:45,2025-11-01,253800120,253800120,428.95373594,432.71839743,-3.76466149
2025-11-01 19:26:45,2025-11-01,152499802,152499802,428.95464095,434.87764318,-5.92300223
2025-11-01 19:26:45,2025-11-01,152305682,152305682,429.31483974,435.95734618,-6.64250644
2025-11-01 19:26:45,2025-11-01,152304954,152304954,428.59504485,434.52662721,-5.93158236
2025-11-01 19:26:45,2025-11-01,65986659,65986659,427.51447085,433.80765585,-6.29318500
2025-11-01 19:26:45,2025-11-01,65986592,65986592,427.51447085,433.80677185,-6.29230100
2025-11-01 19:27:22,2025-11-01,302355261,302355261,444.07455047,432.35714772,11.71740275
2025-11-01 19:27:22,2025-11-01,260417078,260417078,442.99560722,432.71839743,10.27720979
2025-11-01 19:27:22,2025-11-01,253800120,253800120,443.35530359,432.71839743,10.63690616
2025-11-01 19:27:22,2025-11-01,152499802,152499802,444.07502415,434.87764318,9.19738097
2025-11-01 19:27:22,2025-11-01,152305682,152305682,444.43493019,435.95734618,8.47758401
2025-11-01 19:27:22,2025-11-01,152304954,152304954,444.43492846,434.52662721,9.90830125
2025-11-01 19:27:22,2025-11-01,65986659,65986659,444.43492846,433.80765585,10.62727261
2025-11-01 19:27:22,2025-11-01,65986592,65986592,444.43492846,433.80677185,10.62815661
2025-11-01 19:27:59,2025-11-01,302355261,302355261,476.20081213,432.35714772,43.84366441
2025-11-01 19:27:59,2025-11-01,260417078,260417078,476.20050372,432.71839743,43.48210629
