ts,link,symbol,account,class,edge_prob,prior_win_p
1762783532837,B44-ETHUSDT-1762783526-L|B44-sub-A?-20251110T140508,ETHUSDT,MAIN,EqualR,0.55,0.55
1762783533740,B44-BTCUSDT-1762783526-S|B44-sub-A?-20251110T140508,BTCUSDT,MAIN,EqualR,0.55,0.55
1762783534594,B44-ETHUSDT-1762783527-L|B44-sub-A?-20251110T140508,ETHUSDT,MAIN,EqualR,0.55,0.55
1762783535441,B44-BTCUSDT-1762783527-L|B44-sub-A?-20251110T140508,BTCUSDT,MAIN,EqualR,0.55,0.55
1762783536363,B44-ETHUSDT-1762783527-S|B44-sub-A?-20251110T140508,ETHUSDT,MAIN,EqualR,0.55,0.55
1762783537263,B44-ETHUSDT-1762783528-L|B44-sub-A?-20251110T140508,ETHUSDT,MAIN,EqualR,0.55,0.55
1762783538109,B44-ETHUSDT-1762783528-S|B44-sub-A?-20251110T140508,ETHUSDT,MAIN,EqualR,0.55,0.55
1762783539024,B44-ETHUSDT-1762783529-S|B44-sub-A?-20251110T140508,ETHUSDT,MAIN,EqualR,0.55,0.55
1762783539213,B44-ETHUSDT-1762783529-L|B44-sub-A?-20251110T140508,ETHUSDT,MAIN,EqualR,0.55,0.55
1762783552370,B44-BTCUSDT-1762783550-L|B44-sub-A?-20251110T140508,BTCUSDT,MAIN,EqualR,0.55,0.55
1762783552573,B44-ETHUSDT-1762783550-L|B44-sub-A?-20251110T140508,ETHUSDT,MAIN,EqualR,0.55,0.55
1762783552753,B44-BTCUSDT-1762783551-S|B44-sub-A?-20251110T140508,BTCUSDT,MAIN,EqualR,0.55,0.55
1762783552938,B44-ETHUSDT-1762783551-L|B44-sub-A?-20251110T140508,ETHUSDT,MAIN,EqualR,0.55,0.55
1762783553178,B44-ETHUSDT-1762783552-L|B44-sub-A?-20251110T140508,ETHUSDT,MAIN,EqualR,0.55,0.55
1762783553396,B44-BTCUSDT-1762783553-S|B44-sub-A?-20251110T140508,BTCUSDT,MAIN,EqualR,0.55,0.55
